preCost,cost,itemDescription
0.417,4.17,whole milk
0.869,8.69,pork
0.716,7.16,whipped/sour cream
0.51,5.1,frankfurter
0.502,5.02,grapes
0.182,1.82,sausage
0.254,2.54,citrus fruit
0.647,6.47,ham
0.081,0.81,chewing gum
0.057,0.57,beef
0.31,3.1,beef
0.288,2.88,other vegetables
0.213,2.13,frankfurter
0.502,5.02,canned fish
0.317,3.17,sausage
0.575,5.75,bottled water
0.525,5.25,specialty cheese
0.862,8.62,bottled water
0.541,5.41,bottled water
0.419,4.19,chicken
0.657,6.57,frankfurter
0.971,9.71,chicken
0.646,6.46,chicken
0.238,2.38,butter
0.871,8.71,citrus fruit
0.033,0.33,whipped/sour cream
0.49,4.9,frankfurter
0.021,0.21,beef
0.918,9.18,chicken
0.145,1.45,sausage
0.553,5.53,citrus fruit
0.079,0.79,ice cream
0.734,7.34,specialty chocolate
0.721,7.21,frankfurter
0.753,7.53,pork
0.859,8.59,UHT-milk
0.554,5.54,UHT-milk
0.149,1.49,cookware
0.993,9.93,citrus fruit
0.255,2.55,sausage
0.231,2.31,frankfurter
0.979,9.79,citrus fruit
0.413,4.13,ham
0.112,1.12,ham
0.238,2.38,bottled water
0.682,6.82,popcorn
0.253,2.53,tropical fruit
0.319,3.19,frankfurter
0.484,4.84,hamburger meat
0.764,7.64,soda
0.917,9.17,sausage
0.289,2.89,yogurt
0.338,3.38,meat
0.625,6.25,red/blush wine
0.761,7.61,UHT-milk
0.697,6.97,brown bread
0.908,9.08,semi-finished bread
0.691,6.91,whole milk
0.187,1.87,cat food
0.017,0.17,citrus fruit
0.283,2.83,citrus fruit
0.192,1.92,meat
0.573,5.73,rolls/buns
0.257,2.57,root vegetables
0.848,8.48,tropical fruit
0.244,2.44,brown bread
0.723,7.23,shopping bags
0.321,3.21,grapes
0.729,7.29,ham
0.619,6.19,root vegetables
0,0,ice cream
0.97,9.7,tropical fruit
0.201,2.01,finished products
0.452,4.52,dessert
0.447,4.47,sparkling wine
0.08,0.8,other vegetables
0.059,0.59,misc. beverages
0.049,0.49,other vegetables
0.781,7.81,misc. beverages
0.27,2.7,dessert
0.786,7.86,frankfurter
0.661,6.61,sausage
0.164,1.64,meat
0.845,8.45,sausage
0.398,3.98,onions
0.195,1.95,beef
0.601,6.01,pip fruit
0.901,9.01,ham
0.876,8.76,yogurt
0.205,2.05,citrus fruit
0.225,2.25,other vegetables
0.504,5.04,pork
0.592,5.92,bathroom cleaner
0.657,6.57,ham
0.027,0.27,grapes
0.974,9.74,pastry
0.806,8.06,citrus fruit
0.569,5.69,photo/film
0.099,0.99,dessert
0.597,5.97,citrus fruit
0.59,5.9,soda
0.45,4.5,chewing gum
0.232,2.32,root vegetables
0.428,4.28,pork
0.764,7.64,turkey
0.35,3.5,tropical fruit
0.171,1.71,sausage
0.636,6.36,sausage
0.861,8.61,pork
0.842,8.42,sausage
0.73,7.3,grapes
0.624,6.24,grapes
0.771,7.71,other vegetables
0.555,5.55,pot plants
0.334,3.34,bottled water
0.579,5.79,prosecco
0.638,6.38,UHT-milk
0.374,3.74,bottled water
0.707,7.07,rolls/buns
0.811,8.11,specialty chocolate
0.393,3.93,beef
0.725,7.25,tropical fruit
0.933,9.33,beef
0.897,8.97,rolls/buns
0.354,3.54,berries
0.831,8.31,sausage
0.746,7.46,chicken
0.049,0.49,sausage
0.562,5.62,shopping bags
0.111,1.11,canned beer
0.43,4.3,soda
0.844,8.44,yogurt
0.06,0.6,rolls/buns
0.71,7.1,rolls/buns
0.898,8.98,whole milk
0.939,9.39,citrus fruit
0.219,2.19,citrus fruit
0.122,1.22,brown bread
0.587,5.87,tropical fruit
0.219,2.19,frankfurter
0.626,6.26,coffee
0.935,9.35,ham
0.534,5.34,other vegetables
0.109,1.09,sausage
0.22,2.2,pork
0.179,1.79,citrus fruit
0.96,9.6,tropical fruit
0.206,2.06,other vegetables
0.354,3.54,pork
0.067,0.67,chicken
0.932,9.32,root vegetables
0.341,3.41,citrus fruit
0.092,0.92,fruit/vegetable juice
0.751,7.51,beef
0.533,5.33,frankfurter
0.954,9.54,frankfurter
0.206,2.06,beef
0.308,3.08,ham
0.229,2.29,shopping bags
0.213,2.13,pork
0.516,5.16,condensed milk
0.965,9.65,chicken
0.293,2.93,sausage
0.416,4.16,bottled beer
0.03,0.3,chicken
0.255,2.55,finished products
0.498,4.98,pork
0.658,6.58,root vegetables
0.674,6.74,domestic eggs
0.585,5.85,domestic eggs
0.635,6.35,bottled water
0.773,7.73,cling film/bags
0.938,9.38,other vegetables
0.386,3.86,whole milk
0.445,4.45,sausage
0.493,4.93,sausage
0.034,0.34,tropical fruit
0.377,3.77,frankfurter
0.813,8.13,frozen potato products
0.513,5.13,frankfurter
0.013,0.13,frankfurter
0.82,8.2,chicken
0.453,4.53,tropical fruit
0.398,3.98,bottled beer
0.428,4.28,citrus fruit
0.343,3.43,hamburger meat
0.017,0.17,chicken
0.357,3.57,pork
0.703,7.03,rolls/buns
0.469,4.69,bottled water
0.983,9.83,sausage
0.651,6.51,frozen potato products
0.888,8.88,frankfurter
0.522,5.22,sausage
0.441,4.41,tropical fruit
0.638,6.38,bottled beer
0.318,3.18,bottled beer
0.695,6.95,rolls/buns
0.903,9.03,citrus fruit
0.804,8.04,yogurt
0.351,3.51,turkey
0.744,7.44,soda
0.809,8.09,canned beer
0.128,1.28,canned beer
0.016,0.16,sausage
0.961,9.61,pork
0.775,7.75,Instant food products
0.624,6.24,frankfurter
0.148,1.48,oil
0.902,9.02,chicken
0.535,5.35,beef
0.733,7.33,dessert
0.975,9.75,pork
0.157,1.57,curd
0.051,0.51,chicken
0.347,3.47,whipped/sour cream
0.294,2.94,frankfurter
0.792,7.92,frankfurter
0.614,6.14,liver loaf
0.305,3.05,pork
0.415,4.15,frankfurter
0.469,4.69,pork
0.293,2.93,pork
0.919,9.19,soda
0.113,1.13,root vegetables
0.898,8.98,whipped/sour cream
0.445,4.45,chocolate
0.741,7.41,whole milk
0.157,1.57,pork
0.085,0.85,coffee
0.088,0.88,rolls/buns
0.457,4.57,citrus fruit
0.557,5.57,citrus fruit
0.253,2.53,soda
0.536,5.36,cream cheese
0.633,6.33,soda
0.013,0.13,chicken
0.258,2.58,frozen fish
0.561,5.61,sausage
0.81,8.1,beef
0.807,8.07,ham
0.067,0.67,chicken
0.302,3.02,herbs
0.72,7.2,grapes
0.978,9.78,tropical fruit
0.356,3.56,frankfurter
0.862,8.62,onions
0.269,2.69,sausage
0.353,3.53,citrus fruit
0.12,1.2,hamburger meat
0.237,2.37,frankfurter
0.128,1.28,sausage
0.067,0.67,root vegetables
0.17,1.7,oil
0.659,6.59,canned beer
0.246,2.46,newspapers
0.778,7.78,pip fruit
0.043,0.43,coffee
0.379,3.79,red/blush wine
0.813,8.13,onions
0.38,3.8,frankfurter
0.132,1.32,meat
0.881,8.81,whole milk
0.111,1.11,dessert
0.896,8.96,hamburger meat
0.355,3.55,chewing gum
0.848,8.48,bottled water
0.934,9.34,beverages
0.638,6.38,whole milk
0.925,9.25,citrus fruit
0.821,8.21,tropical fruit
0.715,7.15,cat food
0.576,5.76,whole milk
0.584,5.84,soda
0.188,1.88,sausage
0.235,2.35,root vegetables
0.654,6.54,berries
0.225,2.25,other vegetables
0.636,6.36,sausage
0.589,5.89,beverages
0.761,7.61,chicken
0.162,1.62,whole milk
0.398,3.98,sausage
0.54,5.4,ham
0.471,4.71,whole milk
0.307,3.07,root vegetables
0.866,8.66,citrus fruit
0.618,6.18,frankfurter
0.26,2.6,ice cream
0.296,2.96,sausage
0.409,4.09,root vegetables
0.989,9.89,ham
0.377,3.77,coffee
0.548,5.48,citrus fruit
0.168,1.68,pot plants
0.725,7.25,other vegetables
0.841,8.41,whole milk
0.96,9.6,zwieback
0.637,6.37,chicken
0.26,2.6,butter
0.049,0.49,ham
0.457,4.57,whole milk
0.944,9.44,citrus fruit
0.963,9.63,ham
0.228,2.28,canned beer
0.634,6.34,frankfurter
0.546,5.46,chicken
0.613,6.13,frankfurter
0.843,8.43,bottled beer
0.722,7.22,other vegetables
0.161,1.61,frozen potato products
0.38,3.8,chicken
0.605,6.05,sausage
0.469,4.69,canned beer
0.143,1.43,yogurt
0.028,0.28,frozen meals
0.966,9.66,canned fruit
0.98,9.8,butter
0.662,6.62,yogurt
0.791,7.91,citrus fruit
0.892,8.92,meat
0.25,2.5,root vegetables
0.143,1.43,frankfurter
0.268,2.68,tropical fruit
0.729,7.29,yogurt
0.396,3.96,root vegetables
0.043,0.43,yogurt
0.529,5.29,oil
0.281,2.81,citrus fruit
0.849,8.49,beef
0.721,7.21,citrus fruit
0.159,1.59,dessert
0.178,1.78,curd
0.249,2.49,bottled water
0.287,2.87,sausage
0.181,1.81,herbs
0.824,8.24,dog food
0.507,5.07,packaged fruit/vegetables
0.501,5.01,frankfurter
0.657,6.57,finished products
0.642,6.42,oil
0.133,1.33,curd
0.303,3.03,herbs
0.659,6.59,sausage
0.263,2.63,whole milk
0.906,9.06,sausage
0.97,9.7,soda
0.888,8.88,whole milk
0.933,9.33,root vegetables
0.326,3.26,sugar
0.618,6.18,cream cheese
0.256,2.56,other vegetables
0.497,4.97,frozen fruits
0.004,0.04,whipped/sour cream
0.282,2.82,yogurt
0.869,8.69,pork
0.568,5.68,grapes
0.085,0.85,whole milk
0.02,0.2,sausage
0.607,6.07,canned beer
0.76,7.6,meat
0.296,2.96,soda
0.124,1.24,bottled beer
0.53,5.3,whole milk
0.142,1.42,chicken
0.605,6.05,pip fruit
0.27,2.7,pork
0.137,1.37,oil
0.38,3.8,whole milk
0.128,1.28,pip fruit
0.846,8.46,root vegetables
0.909,9.09,ham
0.633,6.33,ice cream
0.848,8.48,sausage
0.436,4.36,detergent
0.977,9.77,oil
0.395,3.95,tropical fruit
0.508,5.08,photo/film
0.479,4.79,UHT-milk
0.284,2.84,meat
0.648,6.48,grapes
0.205,2.05,liver loaf
0.249,2.49,beef
0.769,7.69,root vegetables
0.214,2.14,pork
0.393,3.93,butter milk
0.404,4.04,brown bread
0.75,7.5,herbs
0.538,5.38,newspapers
0.197,1.97,brandy
0.477,4.77,pastry
0.199,1.99,beverages
0.392,3.92,UHT-milk
0.933,9.33,cream cheese
0.346,3.46,rolls/buns
0.959,9.59,rolls/buns
0.391,3.91,rolls/buns
0.671,6.71,sausage
0.322,3.22,hard cheese
0.395,3.95,canned beer
0.188,1.88,canned beer
0.097,0.97,citrus fruit
0.29,2.9,yogurt
0.115,1.15,yogurt
0.756,7.56,salty snack
0.995,9.95,tropical fruit
0.049,0.49,citrus fruit
0.623,6.23,rolls/buns
0.525,5.25,whipped/sour cream
0.924,9.24,citrus fruit
0.075,0.75,butter milk
0.174,1.74,other vegetables
0.625,6.25,canned beer
0.011,0.11,soda
0.455,4.55,tropical fruit
0.654,6.54,coffee
0.161,1.61,ham
0.056,0.56,whipped/sour cream
0.746,7.46,citrus fruit
0.722,7.22,dessert
0.719,7.19,whole milk
0.685,6.85,canned beer
0.01,0.1,rolls/buns
0.728,7.28,fish
0.415,4.15,meat
0.844,8.44,sausage
0.703,7.03,other vegetables
0.892,8.92,tropical fruit
0.906,9.06,baby cosmetics
0.854,8.54,citrus fruit
0.467,4.67,tropical fruit
0.748,7.48,spices
0.592,5.92,sausage
0.288,2.88,sausage
0.092,0.92,beef
0.17,1.7,canned beer
0.465,4.65,canned beer
0.037,0.37,rolls/buns
0.514,5.14,whole milk
0.569,5.69,root vegetables
0.779,7.79,yogurt
0.765,7.65,onions
0.063,0.63,hamburger meat
0.8,8,napkins
0.152,1.52,other vegetables
0.04,0.4,chicken
0.951,9.51,meat
0.057,0.57,rolls/buns
0.153,1.53,butter
0.906,9.06,sausage
0.081,0.81,rolls/buns
0.552,5.52,other vegetables
0.762,7.62,frankfurter
0.018,0.18,newspapers
0.156,1.56,turkey
0.734,7.34,onions
0.291,2.91,whole milk
0.075,0.75,yogurt
0.893,8.93,whipped/sour cream
0.94,9.4,frozen vegetables
0.506,5.06,citrus fruit
0.369,3.69,onions
0.525,5.25,sausage
0.213,2.13,other vegetables
0.51,5.1,frankfurter
0.049,0.49,domestic eggs
0.47,4.7,rolls/buns
0.731,7.31,bottled beer
0.401,4.01,waffles
0.827,8.27,condensed milk
0.731,7.31,canned beer
0.279,2.79,meat
0.733,7.33,whole milk
0.542,5.42,liver loaf
0.818,8.18,frankfurter
0.368,3.68,chicken
0.713,7.13,frankfurter
0.283,2.83,pip fruit
0.593,5.93,root vegetables
0.372,3.72,pip fruit
0.405,4.05,pork
0.834,8.34,other vegetables
0.986,9.86,pastry
0.755,7.55,sausage
0.043,0.43,processed cheese
0.646,6.46,napkins
0.761,7.61,meat
0.152,1.52,pastry
0.863,8.63,sausage
0.144,1.44,pip fruit
0.393,3.93,frozen vegetables
0.969,9.69,citrus fruit
0.844,8.44,other vegetables
0.779,7.79,frankfurter
0.925,9.25,sausage
0.156,1.56,beef
0.801,8.01,hamburger meat
0.123,1.23,yogurt
0.048,0.48,beverages
0.28,2.8,whole milk
0.38,3.8,rolls/buns
0.431,4.31,tropical fruit
0.323,3.23,citrus fruit
0.624,6.24,whole milk
0.642,6.42,citrus fruit
0.15,1.5,soda
0.252,2.52,frankfurter
0.351,3.51,sausage
0.754,7.54,napkins
0.585,5.85,yogurt
0.739,7.39,herbs
0.106,1.06,sausage
0.109,1.09,yogurt
0.62,6.2,pork
0.248,2.48,curd
0.032,0.32,frankfurter
0.246,2.46,frankfurter
0.979,9.79,curd
0.994,9.94,liver loaf
0.67,6.7,pork
0.758,7.58,specialty bar
0.853,8.53,ice cream
0.204,2.04,specialty bar
0.808,8.08,yogurt
0.316,3.16,frozen vegetables
0.01,0.1,rolls/buns
0.333,3.33,pastry
0.898,8.98,pork
0.793,7.93,curd
0.303,3.03,beef
0.874,8.74,yogurt
0.725,7.25,chicken
0.907,9.07,detergent
0.844,8.44,pip fruit
0.643,6.43,coffee
0.931,9.31,tropical fruit
0.926,9.26,sauces
0.18,1.8,pork
0.134,1.34,yogurt
0.618,6.18,napkins
0.903,9.03,other vegetables
0.483,4.83,chicken
0.968,9.68,pork
0.485,4.85,root vegetables
0.246,2.46,ham
0.519,5.19,whole milk
0.239,2.39,soda
0.839,8.39,rolls/buns
0.511,5.11,tropical fruit
0.813,8.13,tropical fruit
0.529,5.29,sausage
0.784,7.84,bottled beer
0.204,2.04,turkey
0.463,4.63,meat
0.89,8.9,whole milk
0.435,4.35,soda
0.331,3.31,rolls/buns
0.468,4.68,dessert
0.345,3.45,sausage
0.706,7.06,pork
0.87,8.7,hamburger meat
0.202,2.02,sausage
0.952,9.52,rolls/buns
0.389,3.89,misc. beverages
0.791,7.91,pastry
0.791,7.91,soda
0.389,3.89,whole milk
0.834,8.34,domestic eggs
0.738,7.38,soda
0.315,3.15,pip fruit
0.586,5.86,yogurt
0.707,7.07,frankfurter
0.959,9.59,specialty chocolate
0.668,6.68,sausage
0.158,1.58,oil
0.41,4.1,tropical fruit
0.487,4.87,citrus fruit
0.084,0.84,napkins
0.193,1.93,whole milk
0.139,1.39,coffee
0.518,5.18,tropical fruit
0.41,4.1,canned beer
0.721,7.21,bottled beer
0.285,2.85,canned beer
0.216,2.16,rum
0.92,9.2,rolls/buns
0.839,8.39,pastry
0.155,1.55,whole milk
0.58,5.8,grapes
0.67,6.7,whole milk
0.361,3.61,yogurt
0.507,5.07,root vegetables
0.447,4.47,pastry
0.007,0.07,canned beer
0.676,6.76,sausage
0.908,9.08,tropical fruit
0.848,8.48,frankfurter
0.715,7.15,rolls/buns
0.352,3.52,frankfurter
0.716,7.16,sausage
0.36,3.6,whole milk
0.263,2.63,whole milk
0.938,9.38,whole milk
0.842,8.42,ham
0.551,5.51,whole milk
0.366,3.66,beef
0.638,6.38,domestic eggs
0.538,5.38,soda
0.442,4.42,whole milk
0.19,1.9,ham
0.442,4.42,curd
0.34,3.4,bottled water
0.909,9.09,butter milk
0.479,4.79,pork
0.784,7.84,pork
0.985,9.85,turkey
0.68,6.8,cream cheese
0.661,6.61,tropical fruit
0.479,4.79,rolls/buns
0.739,7.39,citrus fruit
0.07,0.7,frankfurter
0.895,8.95,whipped/sour cream
0.651,6.51,tropical fruit
0.078,0.78,frankfurter
0.476,4.76,sausage
0.81,8.1,sausage
0.952,9.52,sausage
0.2,2,sliced cheese
0.812,8.12,candy
0.764,7.64,tropical fruit
0.688,6.88,pip fruit
0.749,7.49,citrus fruit
0.778,7.78,hamburger meat
0.312,3.12,other vegetables
0.116,1.16,nuts/prunes
0.237,2.37,ham
0.829,8.29,ham
0.435,4.35,butter
0.664,6.64,napkins
0.667,6.67,beef
0.524,5.24,frankfurter
0.001,0.01,meat
0.501,5.01,whole milk
0.826,8.26,sausage
0.472,4.72,sausage
0.032,0.32,rolls/buns
0.846,8.46,root vegetables
0.344,3.44,sausage
0.846,8.46,sausage
0.192,1.92,meat
0.154,1.54,sausage
0.339,3.39,citrus fruit
0.196,1.96,chocolate
0.497,4.97,coffee
0.036,0.36,sausage
0.808,8.08,beef
0.114,1.14,berries
0.001,0.01,frozen meals
0.366,3.66,beef
0.267,2.67,sausage
0.135,1.35,rolls/buns
0.471,4.71,frankfurter
0.426,4.26,sausage
0.201,2.01,pip fruit
0.37,3.7,grapes
0.463,4.63,chocolate marshmallow
0.446,4.46,coffee
0.658,6.58,soda
0.014,0.14,bottled beer
0.221,2.21,butter
0.612,6.12,fruit/vegetable juice
0.878,8.78,meat
0.001,0.01,pip fruit
0.285,2.85,other vegetables
0.91,9.1,frankfurter
0.402,4.02,long life bakery product
0.202,2.02,tropical fruit
0.955,9.55,whole milk
0.5,5,canned beer
0.412,4.12,canned beer
0.768,7.68,other vegetables
0.237,2.37,soda
0.242,2.42,rolls/buns
0.978,9.78,bags
0.407,4.07,rolls/buns
0.227,2.27,dessert
0.219,2.19,canned beer
0.535,5.35,butter
0.307,3.07,whole milk
0.641,6.41,canned beer
0.418,4.18,coffee
0.13,1.3,chicken
0.203,2.03,soda
0.298,2.98,beef
0.19,1.9,spread cheese
0.327,3.27,citrus fruit
0.779,7.79,canned beer
0.472,4.72,rolls/buns
0.585,5.85,pip fruit
0.075,0.75,pip fruit
0.961,9.61,whole milk
0.671,6.71,chocolate
0.034,0.34,sausage
0.228,2.28,pip fruit
0.486,4.86,other vegetables
0.489,4.89,dessert
0.325,3.25,frankfurter
0.114,1.14,citrus fruit
0.359,3.59,citrus fruit
0.806,8.06,pip fruit
0.738,7.38,tropical fruit
0.505,5.05,frankfurter
0.527,5.27,pip fruit
0.407,4.07,canned beer
0.546,5.46,pork
0.752,7.52,rolls/buns
0.768,7.68,canned beer
0.234,2.34,citrus fruit
0.657,6.57,grapes
0.485,4.85,tropical fruit
0.557,5.57,frozen fish
0.746,7.46,tropical fruit
0.915,9.15,beverages
0.441,4.41,sausage
0.276,2.76,whole milk
0.123,1.23,sausage
0.913,9.13,pork
0.787,7.87,whole milk
0.585,5.85,sausage
0.718,7.18,pastry
0.633,6.33,soda
0.888,8.88,tropical fruit
0.447,4.47,whole milk
0.091,0.91,canned beer
0.189,1.89,pip fruit
0.001,0.01,turkey
0.915,9.15,yogurt
0.935,9.35,whipped/sour cream
0.802,8.02,finished products
0.39,3.9,sausage
0.632,6.32,other vegetables
0.838,8.38,newspapers
0.329,3.29,white wine
0.154,1.54,sausage
0.047,0.47,misc. beverages
0.505,5.05,yogurt
0.079,0.79,beef
0.531,5.31,other vegetables
0.225,2.25,photo/film
0.593,5.93,tropical fruit
0.197,1.97,sausage
0.289,2.89,frankfurter
0.618,6.18,tropical fruit
0.217,2.17,citrus fruit
0.962,9.62,pork
0.253,2.53,soda
0.914,9.14,whole milk
0,0,cookware
0.785,7.85,butter
0.087,0.87,frozen vegetables
0.979,9.79,chicken
0.702,7.02,frankfurter
0.637,6.37,tropical fruit
0.273,2.73,root vegetables
0.865,8.65,meat
0.96,9.6,hamburger meat
0.43,4.3,tropical fruit
0.022,0.22,whole milk
0.219,2.19,whole milk
0.659,6.59,hamburger meat
0.22,2.2,frankfurter
0.349,3.49,soda
0.917,9.17,whipped/sour cream
0.753,7.53,whole milk
0.545,5.45,citrus fruit
0.267,2.67,pip fruit
0.035,0.35,root vegetables
0.384,3.84,pip fruit
0.793,7.93,onions
0.735,7.35,tropical fruit
0.142,1.42,other vegetables
0.521,5.21,citrus fruit
0.211,2.11,canned beer
0.353,3.53,root vegetables
0.619,6.19,tropical fruit
0.119,1.19,butter milk
0.928,9.28,root vegetables
0.096,0.96,pork
0.87,8.7,pip fruit
0.573,5.73,canned beer
0.231,2.31,tropical fruit
0.831,8.31,pork
0.899,8.99,pip fruit
0.728,7.28,rolls/buns
0.86,8.6,meat
0.009,0.09,soda
0.004,0.04,root vegetables
0.175,1.75,root vegetables
0.868,8.68,sausage
0.22,2.2,butter
0.879,8.79,sauces
0.502,5.02,beef
0.875,8.75,ham
0.193,1.93,rolls/buns
0.776,7.76,tropical fruit
0.169,1.69,sausage
0.228,2.28,tropical fruit
0.483,4.83,soda
0.968,9.68,whole milk
0.412,4.12,pip fruit
0.123,1.23,whole milk
0.413,4.13,chicken
0.993,9.93,root vegetables
0.633,6.33,rolls/buns
0.336,3.36,butter
0.539,5.39,tropical fruit
0.641,6.41,sausage
0.708,7.08,soda
0.862,8.62,rolls/buns
0.867,8.67,tropical fruit
0.558,5.58,tropical fruit
0.357,3.57,UHT-milk
0.294,2.94,root vegetables
0.075,0.75,pip fruit
0.814,8.14,whole milk
0.582,5.82,dessert
0.834,8.34,other vegetables
0.618,6.18,pork
0.834,8.34,frankfurter
0.645,6.45,whole milk
0.452,4.52,frankfurter
0.075,0.75,whipped/sour cream
0.846,8.46,curd
0.662,6.62,other vegetables
0.549,5.49,ham
0.171,1.71,whole milk
0.456,4.56,whole milk
0.153,1.53,soda
0.96,9.6,margarine
0.628,6.28,pip fruit
0.728,7.28,other vegetables
0.586,5.86,whole milk
0.489,4.89,pork
0.42,4.2,sausage
0.445,4.45,curd
0.743,7.43,canned beer
0.377,3.77,napkins
0.669,6.69,chewing gum
0.095,0.95,ice cream
0.344,3.44,bottled water
0.337,3.37,liver loaf
0.286,2.86,citrus fruit
0.119,1.19,chicken
0.233,2.33,citrus fruit
0.214,2.14,bottled water
0.862,8.62,pip fruit
0.015,0.15,whole milk
0.448,4.48,hamburger meat
0.476,4.76,turkey
0.992,9.92,ham
0.84,8.4,citrus fruit
0.504,5.04,sausage
0.661,6.61,yogurt
0.747,7.47,butter
0.513,5.13,chicken
0.052,0.52,beverages
0.082,0.82,onions
0.341,3.41,bottled beer
0.482,4.82,butter
0.906,9.06,root vegetables
0.861,8.61,sausage
0.533,5.33,ham
0.209,2.09,soda
0.567,5.67,chicken
0.316,3.16,sausage
0.598,5.98,other vegetables
0.92,9.2,whole milk
0.996,9.96,root vegetables
0.677,6.77,chicken
0.358,3.58,tropical fruit
0.773,7.73,pork
0.549,5.49,tropical fruit
0.6,6,chicken
0.746,7.46,other vegetables
0.282,2.82,whipped/sour cream
0.373,3.73,whole milk
0.672,6.72,root vegetables
0.599,5.99,sausage
0.902,9.02,frozen vegetables
0.81,8.1,beef
0.518,5.18,root vegetables
0.197,1.97,rolls/buns
0.558,5.58,canned beer
0.172,1.72,sweet spreads
0.331,3.31,beef
0.479,4.79,frozen vegetables
0.116,1.16,bottled water
0.907,9.07,domestic eggs
0.459,4.59,ice cream
0.726,7.26,ice cream
0.887,8.87,butter
0.678,6.78,sausage
0.324,3.24,ham
0.213,2.13,citrus fruit
0.054,0.54,red/blush wine
0.06,0.6,butter
0.83,8.3,whole milk
0.37,3.7,hard cheese
0.56,5.6,hygiene articles
0.566,5.66,soups
0.914,9.14,pastry
0.236,2.36,onions
0.105,1.05,ice cream
0.815,8.15,herbs
0.816,8.16,citrus fruit
0.608,6.08,white bread
0.39,3.9,pip fruit
0.592,5.92,misc. beverages
0.47,4.7,ice cream
0.007,0.07,pot plants
0.592,5.92,beef
0.997,9.97,canned beer
0.591,5.91,cat food
0.302,3.02,whipped/sour cream
0.329,3.29,shopping bags
0.544,5.44,berries
0.252,2.52,whole milk
0.631,6.31,root vegetables
0.615,6.15,pork
0.342,3.42,sausage
0.625,6.25,bottled water
0.724,7.24,ice cream
0.624,6.24,berries
0.133,1.33,bottled beer
0.858,8.58,pork
0.078,0.78,ice cream
0.815,8.15,curd
0.745,7.45,sausage
0.01,0.1,rolls/buns
0.471,4.71,other vegetables
0.819,8.19,other vegetables
